,Train_set,Test_set,Model name,Split,N_actives_train,N_actives_test,N_mols_train,Num_mols_test,Mean-CV-ROC,ROC-AUC_train,ROC-AUC_test,best_params,DkS_max_ROC_train,DkSc_med_ROC_train,DkSc_mean_ROC_train,DkS_max_ROC_test,DkSc_med_ROC_test,DkSc_mean_ROC_test
22,DUD,DUD,RandForest,random,3669,106,1224,35,0.7822175685726988,0.8403401839662358,0.8177580199447314,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 0.1, 'n_estimators': 500}",0.7144895916627391,0.5605760727392117,0.5615485592613441,0.745644599303136,0.5977291841883936,0.5986189050893697
23,DUD,DUD,RandForest,scaffold,3564,105,1329,36,0.80932478769345,0.8836107325266043,0.6458601873335053,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 0.1, 'n_estimators': 300}",0.7467806550200307,0.5449937361472488,0.5470370498589723,0.7192790238033857,0.6397428460943542,0.6380410923069924
24,Merged,Merged,LinearSVC,random,4674,225,1559,75,0.7249079230264756,0.7003336580005495,0.6378975741239892,{'C': 1e-15},0.7011203516395694,0.6241534926700132,0.6214842066293814,0.6544699011680145,0.5652380952380952,0.5634996828920248
25,Merged,Merged,LinearSVC,scaffold,4449,225,1784,75,0.6946912700860934,0.6852956649831649,0.6884961966062024,{'C': 1e-12},0.6857354797979798,0.5926846590909091,0.5904936272962468,0.7158845328652234,0.6502145504193486,0.6450640782936932
26,Merged,Merged,rbfSVC,random,4674,225,1559,75,0.8849611776056083,1.0,0.8648068283917341,"{'C': 100.0, 'gamma': 0.01}",0.695620988486801,0.6204108289003771,0.6170504313960544,0.6658670260557052,0.5746675651392632,0.5777176483801066
27,Merged,Merged,rbfSVC,scaffold,4449,225,1784,75,0.8536590669022314,1.0,0.7728496196606203,"{'C': 10.0, 'gamma': 0.01}",0.6857354797979798,0.5926846590909091,0.5904936272962468,0.7158845328652234,0.6502145504193486,0.6450640782936932
28,Merged,Merged,LogReg,random,4674,225,1559,75,0.8285468473744153,0.8879378636897182,0.8424528301886793,"{'C': 1.0, 'penalty': 'l1', 'solver': 'liblinear'}",0.6858240303688719,0.6083656751829375,0.6075843143131232,0.6714285714285715,0.610004492362983,0.6056870672797421
29,Merged,Merged,LogReg,scaffold,4449,225,1784,75,0.8173947297082551,0.905295664983165,0.7464794226643261,"{'C': 100.0, 'penalty': 'l1', 'solver': 'liblinear'}",0.6857354797979798,0.5926846590909091,0.5904936272962468,0.7158845328652234,0.6502145504193486,0.6450640782936932
30,Merged,Merged,DTree,random,4674,225,1559,75,0.7280074709762403,0.7742838590444794,0.7194833782569632,"{'criterion': 'entropy', 'max_depth': 5, 'max_features': None, 'min_samples_leaf': 0.05, 'min_samples_split': 0.3}",0.6952858320221773,0.6178074973152519,0.6163044386856413,0.65625786163522,0.5811028751123091,0.5790358596268695
31,Merged,Merged,DTree,scaffold,4449,225,1784,75,0.7270079767925193,0.7983275462962962,0.6534425590013653,"{'criterion': 'gini', 'max_depth': 5, 'max_features': None, 'min_samples_leaf': 0.05, 'min_samples_split': 0.3}",0.6857354797979798,0.5926846590909091,0.5904936272962468,0.7158845328652234,0.6502145504193486,0.6450640782936932
32,Merged,Merged,RandForest,random,4674,225,1559,75,0.744364041573455,0.782264678704328,0.676837376460018,"{'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 0.05, 'min_samples_split': 0.1, 'n_estimators': 300}",0.6911405809045728,0.623430483754152,0.6215560153783549,0.6593755615453729,0.5661927223719676,0.5634499035463242
33,Merged,Merged,RandForest,scaffold,4449,225,1784,75,0.7401841517335501,0.7965751262626263,0.6554866393602498,"{'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 0.02, 'min_samples_split': 0.3, 'n_estimators': 400}",0.6857354797979798,0.5926846590909091,0.5904936272962468,0.7158845328652234,0.6502145504193486,0.6450640782936932
